,loss,acc
0,2.008540018828814,0.31726400813690525
1,1.4105461138417659,0.5304139324175716
2,1.061196268958795,0.6602725896613878
3,0.850298740838526,0.7317011610899593
4,0.697296832950954,0.7858404846338236
5,0.5841543117838036,0.820545179202423
6,0.522144690539607,0.8407370015143867
7,0.4467738085416518,0.8661029783238792
8,0.38928205602280963,0.8860424027666788
9,0.34941487073717786,0.8994194850483547
10,0.3581160858446513,0.8913427562439219
11,0.3570803557905749,0.8962645128421985
12,0.3206720663585307,0.906865219646244
13,0.2701119249484444,0.92428066626996
14,0.24917712363854977,0.9265522463101441
15,0.2443825124355352,0.9308430085514363
16,0.2237680055603483,0.9338717818982308
17,0.20300529564738815,0.9453558808682484
18,0.21455091267357806,0.9403079252300811
19,0.2066107064651035,0.9404341242398835
20,0.173966186138971,0.9511610297528498
21,0.166113160110555,0.9529278142653229
22,0.17529133614763837,0.9521706208985361
23,0.16707042156747348,0.9520444220090863
24,0.19643453332223657,0.9457344774764214
25,0.1646178652227286,0.9536850075719334
26,0.16789324746355752,0.9491418474915653
27,0.14215982086666903,0.9596163553459846
28,0.12177247700743576,0.9658001009290234
29,0.14300569709144054,0.9553255930746041
30,0.1765217357199942,0.9445986875014616
31,0.15308306068332433,0.9545683997980817
32,0.13805844071746654,0.96214033313498
33,0.13346680238323944,0.961004543129932
34,0.13275154795853072,0.960373548652595
35,0.11474341431755812,0.9699646643109541
36,0.15556374734576936,0.9507824330845004
37,0.16186654964882216,0.950908631943862
38,0.1634670460294859,0.947753659767794
39,0.14875828571042168,0.9568399798081777
40,0.13089785698927273,0.9596163553459846
41,0.1493249762726215,0.9553255931046922
42,0.15264505035855563,0.9546945986574434
43,0.1421548495805366,0.9578495709237759
44,0.13047043053392868,0.9621403331650682
45,0.1622282080822434,0.9481322563759671
46,0.16400734936571193,0.9486370519939424
47,0.15483457690827898,0.9510348308934882
48,0.14492047210268635,0.954442200908632
49,0.12862527847350216,0.9617617364365425
